1000000,10000.000000171856,-7378.198549138366,136733.94285308497,129355.7443039466,301.2044895229365,0
2000000,19999.999999732387,-7314.83365493942,135773.382901247,128458.5492463076,299.08851916537577,2.29e+03
3000000,29999.999998131676,-7085.585698332017,136495.07777042358,129409.49207209157,300.67830535983387,2.29e+03
4000000,39999.99999916195,-8001.650728895784,135866.12240988552,127864.47168098974,299.29281047574983,2.29e+03
5000000,50000.000001199216,-7261.764715276273,136067.8170421022,128806.05232682591,299.7371136785151,2.29e+03
6000000,60000.000003236484,-8391.294574758404,135638.85548934859,127247.56091459018,298.79217533455943,2.29e+03
7000000,70000.00000202576,-7526.936375810272,134933.42631107042,127406.48993526015,297.2382200319894,2.28e+03
8000000,79999.99999678707,-6676.604463242045,136471.34546697282,129794.74100373077,300.6260266337404,2.28e+03
9000000,89999.99999154838,-8020.569004835741,136393.50648084955,128372.93747601382,300.4545589528484,2.28e+03
10000000,99999.99998630969,-7649.391883738227,136664.9772520335,129015.58536829529,301.05256858636506,2.28e+03
11000000,109999.999981071,-7747.5943884582175,136509.18728725697,128761.59289879874,300.7093865217351,2.28e+03
12000000,119999.99997583231,-8429.071669139752,136103.88806592542,127674.81639678567,299.81657276592625,2.28e+03
13000000,129999.99997059362,-8368.176523050974,135927.23876297098,127559.06223992001,299.42744068934934,2.27e+03
14000000,139999.99997834687,-7902.356272269052,136771.14644922563,128868.79017695658,301.28644349830023,2.27e+03
15000000,149999.9999876601,-8023.31400633069,136700.74988360476,128677.43587727407,301.1313703601345,2.27e+03
16000000,159999.99999697332,-7678.9205014799745,136373.738510041,128694.81800856102,300.41101306049677,2.27e+03
17000000,170000.00000628654,-8162.637244713061,136666.6590726033,128504.02182789025,301.0562733863264,2.27e+03
18000000,180000.00001559977,-8414.718450861217,136876.6830070714,128461.9645562102,301.51892480007984,2.27e+03
19000000,190000.000024913,-8626.319991225093,136065.78867307663,127439.46868185155,299.7326454839749,2.27e+03
20000000,200000.00003422622,-8321.81320141006,136497.40839331388,128175.59519190382,300.6834393745729,2.27e+03
21000000,210000.00004353945,-7875.46354102358,136179.93379720813,128304.47025618455,299.984090173773,2.27e+03
22000000,220000.00005285267,-6933.282064640858,136120.56855743978,129187.28649279891,299.8533174017258,2.27e+03
23000000,230000.0000621659,-7073.144060119315,136767.00176934554,129693.85770922623,301.27731338648255,2.27e+03
24000000,240000.00007147912,-8123.928793843266,135811.2766056787,127687.34781183543,299.17199334641174,2.27e+03
25000000,250000.00008079235,-7617.437372233374,136126.09484578445,128508.65747355108,299.86549099099767,2.27e+03
26000000,260000.00009010558,-7735.425753755236,136576.92656285284,128841.5008090976,300.858606046169,2.27e+03
27000000,270000.0000994188,-7693.469681859426,135952.25776344887,128258.78808158945,299.4825538171512,2.27e+03
28000000,280000.000108732,-7663.508303408422,136791.90073552245,129128.39243211402,301.33216209661606,2.27e+03
29000000,290000.00011804525,-8096.192962554058,136355.89635024706,128259.703387693,300.3717094426782,2.27e+03
30000000,300000.0001273585,-9361.176725702699,136531.62589035046,127170.44916464777,300.75881541882796,2.27e+03
31000000,310000.0001366717,-7556.129780657417,137122.9520823454,129566.822301688,302.06141885499704,2.27e+03
32000000,320000.00014598493,-8686.637148047837,135484.2129819031,126797.57583385527,298.4515209473477,2.27e+03
33000000,330000.00015529816,-8013.824016479377,136507.14341953048,128493.3194030511,300.7048841858676,2.27e+03
34000000,340000.0001646114,-8700.951962463652,136342.63326976652,127641.68130730288,300.34249285386136,2.27e+03
35000000,350000.0001739246,-7938.597625782445,135598.57407538278,127659.97644960033,298.70344138541947,2.27e+03
36000000,360000.00018323783,-7237.201952813999,136347.48623850985,129110.28428569586,300.3531832204412,2.27e+03
37000000,370000.00019255106,-8428.08774527903,136106.65588630323,127678.5681410242,299.82266986154565,2.27e+03
38000000,380000.0002018643,-7333.179892107666,135428.000927114,128094.82103500632,298.32769417168026,2.27e+03
39000000,390000.0002111775,-8448.912610802614,136292.45854216404,127843.54593136143,300.2319654098404,2.27e+03
40000000,400000.00022049074,-8838.177433618941,135974.7151382472,127136.53770462827,299.53202406551105,2.27e+03
41000000,410000.00022980396,-8259.772875947634,136678.57364238685,128418.80076643922,301.08251940713626,2.27e+03
42000000,420000.0002391172,-7406.228350819825,137232.19115063836,129825.96279981853,302.3020562352596,2.27e+03
43000000,430000.0002484304,-7221.26520900076,136671.91790765905,129450.65269865829,301.0678578158791,2.27e+03
44000000,440000.00025774364,-7059.683176897128,137031.57426884008,129971.89109194295,301.8601271559771,2.27e+03
45000000,450000.00026705686,-7825.159104836266,137256.64186968264,129431.48276484638,302.3559175237922,2.27e+03
46000000,460000.0002763701,-8419.087891071274,136776.1199423807,128357.03205130942,301.2973993621893,2.27e+03
47000000,470000.0002856833,-7851.203902901389,135987.48361578505,128136.27971288367,299.5601511177888,2.27e+03
48000000,480000.00029499654,-8210.133466863752,136219.94868550653,128009.81521864278,300.07223700660575,2.27e+03
49000000,490000.00030430977,-8107.745688694426,136756.6657272803,128648.92003858589,301.2545446268828,2.27e+03
50000000,500000.000313623,-8931.682328007033,136533.6665534738,127601.98422546676,300.7633106954325,2.27e+03
51000000,510000.0003229362,-7178.33636064704,134970.8963787677,127792.56001812067,297.3207610044623,2.27e+03
52000000,520000.00033224944,-8413.702906230812,136198.31611760496,127784.61321137415,300.0245836848635,2.27e+03
53000000,530000.0003415627,-8365.492040007402,137101.5958664997,128736.1038264923,302.0143742956307,2.27e+03
54000000,540000.0003508759,-7386.615949476862,136369.01543892792,128982.39948945105,300.4006088390291,2.27e+03
