Radius of Gyration,Hydration Radius
8.077805989911022,12.227137278296276
7.992453924775438,12.110273152590569
8.107385370779124,12.267581884497169
7.902339897129984,11.986630130782402
8.091817500466494,12.24629911456567
7.996273805236901,12.115508428449663
7.927347390422115,12.020968934211586
8.184824440245501,12.373331198020779
8.222078586403715,12.424135260807358
8.17113952080977,12.354657530896219
8.192982735215459,12.384460649077411
8.249090512729705,12.460943664282787
8.221839647441922,12.423809559639237
8.114498777724425,12.277303963042634
8.130948534361522,12.299779958175339
8.193822703000102,12.385606400520428
8.233721537255747,12.44000369074994
8.280369712621672,12.503537395054195
8.388844293628285,12.651004804401351
8.550842391429494,12.870528957215804
8.477629591364927,12.771422634035954
8.630809081402706,12.978581338089855
8.746595139452564,13.134671010783933
8.694764290761057,13.064851440612637
8.634060537408935,12.98297042910969
8.630405411903805,12.978036407167194
8.457789629188799,12.744536098447233
8.527161580348494,12.838491680509703
8.513475577648286,12.81996796120681
8.54416518265833,12.861497322618655
8.426652362280041,12.702314231760676
8.296863497522015,12.525984660348719
8.309657017332345,12.543389972470068
8.291221191532163,12.518306738873317
8.544312572748755,12.861696698826117
8.594272277731026,12.92923759556916
8.502548156820556,12.805173604104137
8.592137166358038,12.926352759383787
8.45486400751591,12.740570309728074
8.495793349730354,12.796026523091417
8.299856084426178,12.53005648607144
8.527539626862739,12.839003273194677
8.533305207577296,12.846804995458182
8.411246649837073,12.68141266499682
8.189834985925884,12.380166782459838
8.287486444859145,12.513224013577139
8.230692390123991,12.435875623967394
8.038135909753318,12.17285058267485
8.110740402195292,12.272167498826398
8.065427111068317,12.210202863074612
8.012884304233946,12.138268128509024
7.969336141908262,12.078579251459093
7.975719726863966,12.087332735749248
8.115821480880351,12.279111554047086
8.150781446208812,12.326866781740001
8.1120123706597,12.273905913246086
8.272871048143342,12.493329151305858
8.489687218504619,12.787756589749911
8.528400445510389,12.840168161727982
8.42527543239025,12.70044640542744
8.507044134886783,12.811261059084694
8.528499843246554,12.840302668530514
8.510033914651324,12.815308795191973
8.446518717386677,12.729256444986847
8.425414118413425,12.70063453789426
8.32563394512581,12.56511880529889
8.442524478281445,12.723840587218065
8.513799270939327,12.820406142803535
8.299211869902338,12.529179968175752
8.299889744671301,12.530102283811436
8.352494941259206,12.601631507008173
8.129649689632567,12.29800561249279
8.185438041985055,12.374168341616466
8.154117724552595,12.331422049695037
8.122669309559956,12.288468806741749
