Radius of Gyration,Hydration Radius
3.3256919094427815,5.336532189702986
3.175888558085016,5.105824896370945
2.9615836190105513,4.7742540189230445
3.0164203939240566,4.859268811073581
2.897500755467878,4.674754563772823
2.9100482063438444,4.694249362073505
2.9190167826748263,4.708179902074051
2.872424099584301,4.635774670444365
2.8028741355677322,4.527533919685429
2.8454749284690375,4.593856354253641
2.907700996214156,4.690603007571162
2.95894898778156,4.770166503240032
2.8265588101619725,4.564415943153274
2.8064920809011453,4.533169261251638
2.883479312305508,4.6529622834033235
2.835021620650193,4.577588929185392
3.024042726561925,4.87107652972947
2.888674597564719,4.6610377588824115
3.0135470062275584,4.854817066919418
3.1391247321126814,5.049072214843624
3.176472869012856,5.106726476083296
3.409807564656636,5.465693173124029
3.3438619900559345,5.3644559127877995
3.238502223430376,5.202360620112566
3.214824037398818,5.1658723596084135
3.1700416082761227,5.096802438180797
3.047540513980499,4.9074624624353005
3.0645963980607185,4.933859625158722
3.069032864233319,4.940724011931379
3.0633358316871813,4.931909054523257
3.1442747260455883,5.05702549715878
3.282855601701249,5.270650669040283
3.2195611506347666,5.173174037236283
3.1399941910403912,5.050415017887883
2.8886488982262346,4.660997814832365
2.855626107757282,4.609649466303088
2.7469327988073866,4.440333116087978
2.753329124652077,4.45030993844938
2.938378679783808,4.738243154113232
2.9506220384689272,4.757245804382703
3.0685868040638447,4.940033873793188
3.1485690044042545,5.063656479685536
3.2570171845646123,5.230877075154183
3.205152029509441,5.15096142783088
3.304075845007984,5.303295970381496
3.1309434617864182,5.036435510695629
2.916865375861686,4.704838495332463
2.9210537590140557,4.711343415388096
2.688707343556149,4.349439745454784
2.817778846518359,4.5507462855281995
2.6252979845455586,4.250300369858502
2.5629085421948665,4.152598919077071
2.681377990988113,4.337988630328657
2.7419202676211323,4.432513564129922
2.8785215989889976,4.6452550911818715
2.799462322386499,4.5222191756524825
2.7315055518042475,4.416263406804357
2.6941726408603754,4.357977135359784
2.766793616836014,4.4713061899814415
2.7452664769889,4.437733763768234
2.650583207402217,4.289852578701399
2.5882278289047385,4.192267516323607
