Radius of Gyration,Hydration Radius
3.8539400791021956,5.705135853298655
3.8133407868909424,5.6464178936899545
3.7818917302412607,5.6009139650256206
3.816572618845131,5.65109308258091
3.7934702348177813,5.617669018224916
3.7490034897182647,5.553309189481885
3.798148880321179,5.624438740876456
3.822568412239458,5.659766153012915
3.7820860002653007,5.601195109121247
3.7974615100808244,5.6234441808444915
3.774674435416896,5.590468758201269
3.786590108286565,5.607713188692356
3.817503126834629,5.652439127620543
3.7165577664812126,5.506326421777472
3.6906804938055715,5.468841850733144
3.76962096966464,5.583154604481152
3.727072052931406,5.52155356504149
3.7358269561338013,5.5342312355893215
3.763300831067211,5.574006498898043
3.7099919939781643,5.496816668732107
3.6763084091588505,5.448018081306381
3.7217812527854575,5.513891491934448
3.771664442242055,5.586112286353686
3.7839201751340474,5.603849461614829
3.77487389698084,5.590757440536303
3.8395540175547573,5.6843328648263665
3.7693218097450325,5.582721600197091
3.8174406601043875,5.652348765589277
3.8781586647530375,5.74014902604055
3.867711977488528,5.7250473479693715
3.9285785043358254,5.813008942931211
3.90571714912343,5.779978301427298
3.8532112445815025,5.704082007736418
3.8701498027090047,5.728571625956835
3.992678360894763,5.905573435191638
3.961526123769879,5.860596449723304
3.983089191517757,5.891730580889814
3.980697824481968,5.888278171768649
3.9712648418239134,5.8746588335596375
4.042267495368792,5.977134420591097
4.0465672262304135,5.983337252762863
4.038702983532003,5.9719919786460895
4.094206733443773,6.052040954232747
3.985021018466221,5.894519480752389
3.9512799058620196,5.845799470590732
3.938936980391518,5.827972123508593
3.9468129751434495,5.839348022470911
3.788415117167081,5.610354133079235
3.889658670815043,5.756771176188804
3.82988682598034,5.670351577737189
3.892781846979267,5.761285028173477
3.918125139274646,5.797906797022878
3.959793142526144,5.858093909605236
3.9087083399495888,5.784300564417196
3.8946658419709825,5.76400783896152
3.964399148111402,5.864745172671832
3.86937767680271,5.727455401965656
3.830328452065389,5.6709903200931375
3.763709348338426,5.574597829673995
3.822937098331175,5.660299446515915
3.748453519387102,5.5525129626943786
3.741575395795138,5.5425546222465005
3.6789247336612796,5.451809153153284
3.6322318200826773,5.384132794666298
3.6915150567432193,5.470050941203202
3.706876993072195,5.492304690799446
3.727365091571394,5.521977925769631
3.729381745254808,5.524898280211786
3.7556233091031475,5.562892705428418
3.7276968637489007,5.522458376237938
3.7216939575290438,5.513765067890243
3.736323313399108,5.534949953129327
3.697514489450941,5.478742385897426
3.774355751413111,5.590007522822395
3.6724885864108265,5.4424829172748685
3.6527722849352076,5.413908692267144
3.6811304809945424,5.455005202853952
3.6916418667054516,5.470234658715631
3.770972048792045,5.585110137912382
3.8382221769635043,5.68240677189376
3.824409043242023,5.6624285475553
3.802805188102993,5.631175762691624
3.7749215988048244,5.5908264796690625
3.777884960309123,5.595115292417857
3.703437613641436,5.487322663944185
3.714682944770922,5.503611038848226
3.73151420908295,5.52798626417965
3.8606958493493932,5.7149038004647705
3.9342940299232483,5.821265450445325
3.98479035085028,5.8941864787269855
3.898784315980354,5.769959775998044
3.85544761071196,5.707315612930493
3.8287904015556022,5.66876575832566
3.926281141901074,5.80969006940159
3.827026112475133,5.66621392520917
3.8120681702911368,5.644576868299751
3.8011306493775847,5.628752984497805
3.8363441367117743,5.679690718544156
3.8133131815852437,5.6463779588918745
3.8036729126112903,5.632431196046253
3.7536487730177273,5.560034248659699
3.7126858796974864,5.500718538119306
3.7202701471403246,5.5117030370660824
3.6569602686038998,5.419978776444036
3.6403101857536284,5.395844247900419
3.544608809383721,5.257029576821327
3.5525696185182376,5.2685828381573945
3.5913792540158744,5.324890075396118
3.667665690218312,5.435493871832311
3.5449762314154256,5.257562828840007
3.5208492867473886,5.222541549827162
3.5088832578570575,5.205168564330097
3.457986248231717,5.131245201579615
3.4317530451795557,5.093126044719199
3.4594188363066785,5.133326530147323
3.454206058114589,5.125752997783342
3.402776880001384,5.051007062336466
3.4267258918566497,5.085819766782305
3.4850051404795805,5.17049339515014
3.4361320223017,5.099489925444537
3.4520845898781927,5.1226706259141945
3.4400693485712375,5.105211675983467
3.4115891997025876,5.063817977776738
3.4296038557800594,5.090002547026275
3.397749234093227,5.043697507025517
3.3920810587743873,5.035456170580743
3.413240751689526,5.066218770599136
3.317120481665751,4.926412832210354
3.2852319502196403,4.879995357503195
3.249324115347194,4.827705865681566
3.2738664236998773,4.8634471773457335
3.252061716916276,4.831693199928715
3.2944136709763883,4.893362259081283
3.300412407525871,4.902094517056878
3.3037321136203444,4.906926683796514
3.2685974775843767,4.855774831603904
3.217692752135471,4.7816249945507465
3.2417003014232386,4.816601035234921
3.2123825475190833,4.773887307442961
3.347900291894708,4.9711994461732845
3.3928204745886226,5.036531288378639
3.426997033497537,5.0862138453072205
3.4758747863886135,5.157231891050734
3.4750483930096623,5.156031512756396
3.4646609641605535,5.140942222576696
3.4052050469938697,5.054537147965587
3.429587641351259,5.089978981679192
