CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
2.927599999999999980e+00 9.533042999999999267e+00
2.949199999999999822e+00 9.938290999999999542e+00
2.970800000000000107e+00 1.083460799999999935e+01
2.992399999999999949e+00 1.090554200000000051e+01
3.035600000000000076e+00 1.063293200000000027e+01
3.057199999999999918e+00 1.046051499999999912e+01
3.078800000000000203e+00 1.076977699999999949e+01
3.100400000000000045e+00 1.124944699999999997e+01
3.121999999999999886e+00 1.131604600000000005e+01
3.143600000000000172e+00 1.072836999999999996e+01
3.165200000000000014e+00 1.048961500000000058e+01
3.186799999999999855e+00 1.109907600000000016e+01
3.208400000000000141e+00 1.157504800000000067e+01
3.229999999999999982e+00 1.163793300000000031e+01
3.251599999999999824e+00 1.128772700000000029e+01
3.294799999999999951e+00 1.140972099999999934e+01
3.316399999999999793e+00 1.146957699999999925e+01
3.338000000000000078e+00 1.152866799999999969e+01
3.359599999999999920e+00 1.199933000000000050e+01
3.381200000000000205e+00 1.140334499999999984e+01
3.402800000000000047e+00 1.211366699999999952e+01
3.424399999999999888e+00 1.216967400000000055e+01
3.489199999999999857e+00 1.192068599999999989e+01
3.532399999999999984e+00 1.202566799999999958e+01
3.553999999999999826e+00 1.207697699999999941e+01
3.575600000000000112e+00 1.171515800000000063e+01
3.597199999999999953e+00 1.176488299999999931e+01
3.618799999999999795e+00 1.222615200000000080e+01
3.640400000000000080e+00 1.203308400000000056e+01
3.661999999999999922e+00 1.273395900000000047e+01
3.683600000000000207e+00 1.182307600000000036e+01
3.705200000000000049e+00 1.282622600000000013e+01
3.726799999999999891e+00 1.245881699999999981e+01
3.748400000000000176e+00 1.209060200000000052e+01
3.770000000000000018e+00 1.230505199999999988e+01
3.791599999999999859e+00 1.184351900000000057e+01
3.813200000000000145e+00 1.197691400000000073e+01
3.834799999999999986e+00 1.212625500000000045e+01
3.856399999999999828e+00 1.205786299999999933e+01
3.878000000000000114e+00 1.220557400000000037e+01
3.899599999999999955e+00 1.224400799999999911e+01
