Frame,Rg
0,29.92655934990481
1,31.898033209453338
2,29.487879086400497
3,30.578012606168127
4,50.98942905018331
5,43.373066921515914
6,36.066688999597055
7,37.37081195849601
8,27.35656324276294
9,33.958645805886796
10,27.74171914564161
11,35.528700145748104
12,39.30539779378731
13,30.367326313639975
14,33.62441704271273
15,29.67704920570712
16,30.11938016545367
17,28.78796711400351
18,36.22988140970165
19,32.07659660953178
20,29.295500981979306
21,27.379429939235557
22,27.564194892878664
23,26.456998142000387
24,27.837411729507917
25,29.362413302376485
26,31.75863198855819
27,34.40593230844503
28,31.52297917870375
29,29.252048455359475
30,33.552165928035464
31,28.730594081832862
32,28.443458289208273
33,23.992706758893338
34,27.56509470359025
35,25.234672034310233
36,27.998269434630675
37,35.49511347353694
38,31.957732555734612
39,34.07239191382119
40,24.611458059594923
41,39.074019890571364
42,36.120130880007906
43,29.07700716905004
44,32.77901810758993
45,24.241391770855806
46,30.750920552146017
47,28.010630362266117
48,27.661122272535685
49,30.13860622553603
50,31.79295430107087
51,36.740870029667406
52,45.09964887100211
53,36.480166322812416
54,41.67077029735906
55,29.088940647223758
56,27.95509759347519
57,31.997908784795648
58,25.41972964139568
59,25.449911976334167
60,27.732768832423034
61,34.02842958989524
62,29.038495106027387
63,29.148250889079613
64,26.865291476210206
65,29.442641992873693
66,39.682702329496955
67,28.985798581543794
68,33.870972337238975
69,29.27587377993347
70,40.307758265534844
71,28.331433869613385
72,26.81506526882063
73,42.47770886702862
74,27.861140910184435
75,26.972020708638038
76,31.007648128502556
77,27.01905074836348
78,30.772611448832247
79,34.03879929176018
80,31.81494220588799
81,23.622429105014298
82,37.58595051527411
83,27.613413453432393
84,28.63675770276744
85,30.0269092051966
86,30.20490086193768
87,25.624085839668272
88,28.066025216524967
89,38.039428497726426
90,41.64630526401985
91,31.989335776292435
92,30.63306944394904
93,28.748221185635607
94,30.14476428792278
95,30.455170098217863
96,30.511624259364016
97,34.741579965368366
98,41.126740604024526
99,32.979124684056096
100,35.0368236769772
101,30.040738907258138
102,29.875879052951895
103,31.629467662000817
104,26.994331662752508
105,26.857007428221323
106,36.75388000620128
107,28.292778811632616
108,26.578526553830283
109,28.569444456447442
110,28.05624147899044
111,31.228605003499684
112,34.710044079147465
113,27.663084747981234
114,30.67118445787887
115,26.59277626934777
116,27.743172305264622
117,27.502975334084073
118,25.14190666534996
119,31.76737201314564
120,30.37090250121626
121,25.80786618913213
122,31.68291480906313
123,28.739456304527508
124,32.557179173988324
125,27.15369587951781
126,31.661969888581655
127,38.53307678176939
128,45.031699584391696
129,40.32525362230125
130,32.96649431394918
131,29.181812385826905
132,39.01573584676591
133,28.62199459448255
134,27.069953541253216
135,27.52742572009633
136,31.3686141409772
137,31.025415051251915
138,27.092209800638898
139,32.44671261462422
140,31.761794889120075
141,29.5896083529643
142,31.64522689126198
143,25.627491896512492
144,27.32366371944693
145,29.54081225038943
146,26.195494316901105
147,28.31080928919804
148,27.359388175811237
149,32.24983869678902
150,32.68745752030098
151,31.514212759748077
152,26.436584142624515
153,28.19919424802778
154,25.27094068084068
155,29.160870615815284
156,26.099452730225654
157,29.087309137013925
158,29.23045613782282
159,27.11090340872434
160,27.70312584494456
161,41.2155684706404
162,24.68458054185691
163,27.65792578480745
164,28.347107573615045
165,26.849132763274582
166,28.467025283442638
167,27.241561773276118
168,25.968360672415717
169,26.089234752154912
170,26.958076082977747
171,27.86289760096632
172,32.8941177894736
173,25.56249471504049
174,29.22731652380229
175,30.38198998671187
176,29.521356398089512
177,41.07692757770167
178,45.61107979340111
179,29.62279013536479
180,31.424946189465178
181,31.207595989659566
182,26.34866107608137
183,28.25842152353215
184,25.398330099942804
185,27.67586682085788
186,30.32306265889479
187,35.79526833119422
188,27.28387824618307
189,25.75092120014516
190,24.865817194872704
191,35.68852990514893
192,31.473191623541574
193,25.001849136878725
194,38.8552790578694
195,29.991606142295343
196,28.301094486299927
197,28.12879319820966
198,29.316265786913476
199,35.624923625917035
200,37.201274792917246
201,27.364068175392635
202,32.05527523844523
203,48.034573382742735
204,69.18064101667753
205,78.13994936664004
206,58.100509055297195
207,60.25204660390007
208,50.90080863611528
209,43.37742021635757
210,39.63322803298319
211,34.06929567713518
212,27.963598760385107
213,29.91237522714722
214,32.97003372945519
215,31.0059078630178
216,27.834930864323084
217,24.695463916032747
218,33.461493041734876
219,49.768419896530155
220,34.86911868930399
