Z,Concentration
-75.0,0.5620117310184402
-74.9,0.5620117310184402
-74.8,0.5276441071791831
-74.7,0.5579684811549982
-74.60000000000001,0.5033846079985309
-74.5,0.4629521093641108
-74.4,0.533708981974346
-74.3,0.4993413581350889
-74.2,0.5599901060867193
-74.10000000000001,0.49327648333992596
-74.0,0.5599901060867193
-73.9,0.5377522318377882
-73.8,0.6064874795163024
-73.7,0.56201173101844
-73.60000000000001,0.5741414806087662
-73.5,0.6509632280141646
-73.4,0.5862712301990924
-73.3,0.6287253537652335
-73.2,0.6004226047211394
-73.10000000000001,0.6913957266485848
-73.0,0.6165956041749073
-72.9,0.6873524767851428
-72.8,0.6408551033555594
-72.7,0.6570281028093277
-72.60000000000001,0.6630929776044907
-72.5,0.731828225283005
-72.4,0.717676850760958
-72.3,0.6994822263754688
-72.2,0.6934173515803057
-72.10000000000001,0.6610713526727696
-72.0,0.6833092269217007
-71.9,0.6267037288335124
-71.8,0.7459795998050518
-71.7,0.6913957266485846
-71.60000000000001,0.6388334784238384
-71.5,0.6732011022630957
-71.4,0.6428767282872805
-71.3,0.7156552258292368
-71.2,0.6287253537652335
-71.10000000000001,0.6327686036286755
-71.0,0.6691578523996536
-70.9,0.6994822263754686
-70.8,0.6388334784238385
-70.7,0.6125523543114654
-70.60000000000001,0.6711794773313747
-70.5,0.6125523543114655
-70.4,0.6125523543114655
-70.3,0.7217201006244
-70.2,0.6570281028093277
-70.10000000000001,0.7439579748733312
-70.0,0.6246821039017915
-69.9,0.7095903510340738
-69.8,0.7095903510340738
-69.7,0.6833092269217006
-69.60000000000001,0.6893741017168636
-69.5,0.7338498502147259
-69.4,0.7378931000781679
-69.3,0.6732011022630957
-69.2,0.7075687261023529
-69.10000000000001,0.7399147250098889
-69.0,0.7419363499416097
-68.9,0.8106715976201242
-68.8,0.8126932225518451
-68.7,0.8228013472104503
-68.60000000000001,0.6772443521265377
-68.5,0.7338498502147258
-68.4,0.7055471011706319
-68.3,0.778325598712588
-68.2,0.756087724463657
-68.10000000000001,0.7924769732346351
-68.0,0.7985418480297982
-67.9,0.6752227271948167
-67.8,0.7581093493953779
-67.7,0.6893741017168635
-67.60000000000001,0.7055471011706317
-67.5,0.7176768507609578
-67.4,0.6671362274679327
-67.3,0.6893741017168636
-67.2,0.7277849754195628
-67.10000000000001,0.7116119759657947
-67.0,0.756087724463657
-66.9,0.748001224736773
-66.8,0.7540660995319358
-66.7,0.766195849122262
-66.60000000000001,0.7985418480297981
-66.5,0.7439579748733309
-66.4,0.8005634729615192
-66.3,0.7763039737808669
-66.2,0.7904553483029139
-66.10000000000001,0.6893741017168636
-66.0,0.8187580973470081
-65.9,0.7338498502147258
-65.8,0.7702390989857041
-65.7,0.8126932225518452
-65.60000000000001,0.748001224736773
-65.5,0.8066283477566821
-65.4,0.766195849122262
-65.3,0.6711794773313747
-65.2,0.7318282252830048
-65.10000000000001,0.6610713526727697
-65.0,0.754066099531936
-64.9,0.6853308518534218
-64.8,0.74193634994161
-64.7,0.7015038513071898
-64.60000000000001,0.7035254762389107
-64.5,0.7378931000781679
-64.4,0.6893741017168639
-64.3,0.7136336008975159
-64.2,0.6368118534921176
-64.10000000000001,0.7439579748733309
-64.0,0.7015038513071896
-63.900000000000006,0.7015038513071898
-63.800000000000004,0.6954389765120268
-63.7,0.796520223098077
-63.6,0.703525476238911
-63.5,0.7075687261023529
-63.400000000000006,0.7742823488491462
-63.300000000000004,0.8005634729615193
-63.2,0.7378931000781681
-63.1,0.7480012247367729
-63.0,0.8025850978932403
-62.900000000000006,0.8490824713228234
-62.800000000000004,0.8066283477566821
-62.7,0.8005634729615193
-62.6,0.8207797222787293
-62.5,0.8470608463911024
-62.400000000000006,0.7823688485760301
-62.300000000000004,0.8207797222787292
-62.2,0.8308878469373342
-62.1,0.8207797222787292
-62.0,0.8106715976201241
-61.900000000000006,0.8470608463911024
-61.800000000000004,0.8915365948889645
-61.7,0.8955798447524064
-61.6,0.8632338458448703
-61.5,0.8955798447524066
-61.400000000000006,0.998682716270178
-61.300000000000004,0.8450392214593812
-61.2,0.9804880918846887
-61.1,0.9420772181819894
-61.0,0.9845313417481307
-60.900000000000006,0.9501637179088738
-60.800000000000004,0.9905962165432938
-60.7,1.0350719650411557
-60.6,0.9966610913384569
-60.5,1.037093589972877
-60.400000000000006,1.0694395888804131
-60.300000000000004,0.9926178414750149
-60.2,1.0674179639486923
-60.1,1.1341315866954857
-60.0,1.024963840382551
-59.900000000000006,1.1038072127196705
-59.800000000000004,1.1482829612175327
-59.7,1.2048884593057205
-59.6,1.069439588880413
-59.5,1.1098720875148333
-59.400000000000006,1.2251047086229307
-59.300000000000004,1.2230830836912097
-59.2,1.1786073351933477
-59.1,1.2028668343739997
-59.0,1.265537207257351
-58.900000000000006,1.2008452094422788
-58.800000000000004,1.2857534565745607
-58.7,1.3221427053455397
-58.6,1.2837318316428397
-58.5,1.3282075801407023
-58.400000000000006,1.3888563280923325
-58.300000000000004,1.2857534565745614
-58.2,1.4474834511122412
-58.1,1.251385832735304
-58.0,1.3908779530240536
-57.900000000000006,1.3180994554820968
-57.800000000000004,1.312034580686934
-57.7,1.4454618261805205
-57.6,1.334272454935865
-57.5,1.354488704253075
-57.400000000000006,1.3827914532971697
-57.300000000000004,1.3969428278192164
-57.2,1.4110942023412636
-57.1,1.3019264560283292
-57.0,1.4232239519315897
-56.900000000000006,1.5040889492004297
-56.800000000000004,1.4353537015219155
-56.7,1.3605535790482384
-56.6,1.526326823449361
-56.5,1.4616348256342888
-56.400000000000006,1.566759322083781
-56.300000000000004,1.467699700429452
-56.2,1.6456026944209012
-56.1,1.5546295724934551
-56.0,1.5647376971520601
-55.900000000000006,1.6678405686698314
-55.800000000000004,1.5566511974251764
-55.7,1.5809106966058282
-55.6,1.6476243193526217
-55.5,1.6456026944209003
-55.400000000000006,1.6375161946940164
-55.300000000000004,1.6759270683967156
-55.2,1.6354945697622958
-55.1,1.6880568179870419
-55.0,1.7547704407338347
-54.900000000000006,1.6415594445574582
-54.800000000000004,1.722424441826299
-54.7,1.6981649426456469
-54.6,1.6739054434649945
-54.5,1.768921815255882
-54.400000000000006,1.9063923106129101
-54.300000000000004,1.9165004352715156
