CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
3.942800000000000082e+00 1.239902400000000071e+01
3.964399999999999924e+00 1.215604899999999944e+01
3.986000000000000210e+00 1.260417799999999922e+01
4.007600000000000051e+00 1.215673699999999968e+01
4.029200000000000337e+00 1.243207199999999979e+01
4.050799999999999734e+00 1.210479600000000033e+01
4.072400000000000020e+00 1.232670500000000047e+01
4.094000000000000306e+00 1.252947400000000044e+01
4.115599999999999703e+00 1.238913600000000059e+01
4.137199999999999989e+00 1.228635399999999933e+01
4.158800000000000274e+00 1.203588300000000011e+01
4.180399999999999672e+00 1.247650299999999923e+01
4.201999999999999957e+00 1.217104299999999917e+01
4.223600000000000243e+00 1.228934500000000085e+01
4.245199999999999640e+00 1.236686399999999963e+01
4.266799999999999926e+00 1.239177699999999938e+01
4.288400000000000212e+00 1.227238400000000063e+01
4.309999999999999609e+00 1.211394100000000051e+01
4.331599999999999895e+00 1.240967999999999982e+01
4.353200000000000180e+00 1.243120599999999953e+01
4.374799999999999578e+00 1.224468199999999918e+01
4.396399999999999864e+00 1.211113100000000031e+01
4.418000000000000149e+00 1.249068100000000037e+01
4.439600000000000435e+00 1.233766600000000047e+01
4.461199999999999832e+00 1.213904899999999998e+01
4.482800000000000118e+00 1.210585900000000059e+01
4.504400000000000404e+00 1.228467099999999945e+01
4.525999999999999801e+00 1.233153399999999955e+01
4.547600000000000087e+00 1.234537599999999991e+01
4.569200000000000372e+00 1.216293899999999972e+01
4.590799999999999770e+00 1.227878199999999964e+01
4.612400000000000055e+00 1.231906900000000071e+01
4.634000000000000341e+00 1.224633000000000038e+01
4.655599999999999739e+00 1.223055199999999942e+01
4.677200000000000024e+00 1.229098899999999972e+01
4.698800000000000310e+00 1.227235800000000054e+01
4.720399999999999707e+00 1.236244699999999952e+01
4.741999999999999993e+00 1.207062900000000027e+01
4.763600000000000279e+00 1.250648699999999991e+01
4.785199999999999676e+00 1.222201800000000027e+01
4.806799999999999962e+00 1.227311399999999963e+01
4.828400000000000247e+00 1.227572499999999955e+01
4.849999999999999645e+00 1.238592500000000030e+01
4.871599999999999930e+00 1.241731000000000051e+01
4.893200000000000216e+00 1.207113799999999948e+01
4.914799999999999613e+00 1.205302099999999932e+01
4.936399999999999899e+00 1.230103800000000014e+01
4.958000000000000185e+00 1.229842000000000013e+01
4.979599999999999582e+00 1.232137099999999919e+01
5.001199999999999868e+00 1.229055999999999926e+01
5.022800000000000153e+00 1.210774999999999935e+01
5.044400000000000439e+00 1.239285199999999953e+01
5.065999999999999837e+00 1.248808599999999913e+01
5.087600000000000122e+00 1.234746900000000025e+01
5.109200000000000408e+00 1.207800899999999977e+01
5.130799999999999805e+00 1.215056000000000047e+01
5.152400000000000091e+00 1.209754000000000040e+01
5.174000000000000377e+00 1.225048600000000043e+01
5.195599999999999774e+00 1.209475199999999973e+01
5.217200000000000060e+00 1.222505999999999915e+01
5.238800000000000345e+00 1.200701500000000088e+01
5.260399999999999743e+00 1.199209600000000009e+01
5.282000000000000028e+00 1.218030500000000060e+01
5.303600000000000314e+00 1.213717499999999916e+01
5.325199999999999712e+00 1.226542300000000019e+01
5.346799999999999997e+00 1.218429099999999998e+01
5.368400000000000283e+00 1.216494900000000001e+01
5.389999999999999680e+00 1.244860000000000078e+01
5.411599999999999966e+00 1.225634999999999941e+01
5.433200000000000252e+00 1.235786900000000088e+01
5.454799999999999649e+00 1.204969200000000029e+01
5.476399999999999935e+00 1.222607299999999952e+01
5.498000000000000220e+00 1.224244799999999955e+01
5.519599999999999618e+00 1.230859200000000087e+01
5.541199999999999903e+00 1.204094300000000040e+01
5.562800000000000189e+00 1.236326599999999942e+01
5.584399999999999586e+00 1.222657799999999995e+01
5.605999999999999872e+00 1.202632299999999965e+01
5.627600000000000158e+00 1.199630999999999936e+01
5.649200000000000443e+00 1.196540500000000051e+01
5.670799999999999841e+00 1.242537899999999951e+01
5.692400000000000126e+00 1.202443500000000043e+01
5.714000000000000412e+00 1.203846399999999939e+01
5.735599999999999810e+00 1.232462100000000049e+01
5.757200000000000095e+00 1.213974400000000031e+01
5.778800000000000381e+00 1.188472200000000001e+01
5.800399999999999778e+00 1.206630700000000012e+01
5.822000000000000064e+00 1.209830999999999968e+01
5.843600000000000350e+00 1.223048600000000086e+01
5.865199999999999747e+00 1.219062800000000024e+01
5.886800000000000033e+00 1.256221099999999957e+01
5.908400000000000318e+00 1.180434200000000011e+01
5.929999999999999716e+00 1.217412900000000064e+01
5.951600000000000001e+00 1.178101700000000029e+01
5.973200000000000287e+00 1.239020700000000019e+01
5.994799999999999685e+00 1.176148500000000041e+01
6.016399999999999970e+00 1.179476999999999975e+01
6.038000000000000256e+00 1.174771999999999927e+01
6.059599999999999653e+00 1.169976999999999911e+01
6.081199999999999939e+00 1.215495600000000032e+01
6.102800000000000225e+00 1.275874100000000055e+01
6.124399999999999622e+00 1.188340999999999958e+01
6.145999999999999908e+00 1.224418900000000043e+01
6.167600000000000193e+00 1.195052599999999998e+01
6.189199999999999591e+00 1.213836399999999927e+01
