X Data,Y Data,Standard Deviation
0.0,9.742857142857142,4.410547037507709
0.1,10.447619047619048,4.5549156123717225
0.2,10.4,4.4435078378193404
0.3,10.623809523809523,4.636953511572089
0.4,10.847619047619048,4.624532825580903
0.5,11.114285714285714,4.763580657475226
0.6,11.452380952380953,4.8437607435328145
0.7,11.485714285714286,4.543680668093373
0.8,11.714285714285714,4.647506829246317
0.9,11.60952380952381,4.6949724642333415
1.0,11.457142857142857,4.647638563581196
1.1,11.633333333333333,4.667397901893858
1.2,11.685714285714285,4.739025991376158
1.3,11.709523809523809,4.686495773004121
1.4,11.847619047619048,4.712760696097862
1.5,11.957142857142857,4.648406939461081
1.6,11.780952380952382,4.789832390706982
1.7,11.847619047619048,4.808783535674124
1.8,11.91904761904762,4.833722714786886
1.9,11.804761904761905,4.52295480647396
2.0,11.928571428571429,4.726787175958182
2.1,11.871428571428572,4.614949089864461
2.2,11.861904761904762,4.762449968788693
2.3,12.119047619047619,4.703607434990119
2.4,12.014285714285714,4.825506212210449
2.5,12.052380952380952,4.734083010479789
2.6,12.095238095238095,4.947387592551215
2.7,12.18095238095238,5.031862198849311
2.8,12.223809523809523,5.032977416798583
2.9,12.385714285714286,4.908572260103039
3.0,12.176190476190476,4.881198600061529
3.1,12.32857142857143,4.986805720350152
3.2,12.333333333333334,5.133766215514255
3.3,12.204761904761904,4.737989948578877
3.4,12.285714285714286,4.768376554550447
3.5,12.352380952380953,4.774896563089992
3.6,12.371428571428572,4.7973348610147575
3.7,12.442857142857143,4.948695973358506
3.8,12.476190476190476,4.918565873243248
3.9,12.347619047619048,4.991241762434051
4.0,12.519047619047619,4.858680895608547
4.1,12.50952380952381,5.094105348052016
4.2,12.371428571428572,4.884391355283135
4.3,12.32857142857143,4.791524546842393
4.4,12.376190476190477,5.010598743986853
4.5,12.357142857142858,4.925741078261019
4.6,12.50952380952381,4.951902449410805
4.7,12.228571428571428,4.815168775872353
4.8,12.161904761904761,4.8543035585497485
4.9,12.242857142857142,4.777733217110134
5.0,12.49047619047619,4.8370991663052765
5.1,12.485714285714286,4.834625677565625
5.2,12.542857142857143,5.062050349561589
5.3,12.533333333333333,5.00107924860161
5.4,12.552380952380952,4.984702221379695
5.5,12.676190476190476,4.974688768623742
5.6,12.795238095238096,4.949841381823807
5.7,12.414285714285715,4.869710631305834
5.8,12.371428571428572,4.947355508816023
5.9,12.433333333333334,4.935568991498474
6.0,12.261904761904763,4.9317220203664975
6.1,12.576190476190476,5.01582303571643
6.2,12.495238095238095,5.064110525995768
6.3,12.423809523809524,4.982006170964498
6.4,12.628571428571428,4.972317928112732
6.5,12.442857142857143,4.959749554791905
