Radius of Gyration,Hydration Radius
2.463102798853834,4.287975371352706
2.506327125979447,4.359347104832264
2.4654727864199986,4.291891968868369
2.452704856989093,4.27078741050909
2.518186931283923,4.378907771446496
2.4719652069029623,4.3026192666169045
2.429155872953083,4.231833364184668
2.2604996629986864,3.951739294487359
2.320904549807543,4.052280169706284
2.2522072331240413,3.9379173717781897
2.0358310454549384,3.5755770341220225
2.3403618377827144,4.084612492646062
2.2861896021253605,3.9945295490720754
2.6577836062134343,4.6084333897985985
2.785256512474939,4.816880972741135
2.5806060162329922,4.4817001425343514
2.6959632229088957,4.670980013211828
2.581724553818511,4.483539759287426
2.7927558562820054,4.829110303701068
2.8396689074512786,4.905527376010302
2.869370745406326,4.953833323994829
2.8192400875872328,4.872268696017117
2.7794791987227025,4.80745723405454
2.9729785852530384,5.1218798393331495
2.699613156120596,4.676954286919689
2.819037540801383,4.871938805331724
2.6614409175146356,4.614429109708727
2.734238095597025,4.733584603468761
2.541228134819481,4.416882947096384
2.5712439569056844,4.466299402438043
2.586822481112314,4.491923059195002
2.436947102096506,4.244725570025064
2.3285799807204794,4.065037591699089
2.4209763729394256,4.218294232448823
2.27840015075475,3.9815599043289853
2.539098194182278,4.413374010388855
2.583959412157564,4.4872150938910345
2.462414745385105,4.286838235404456
2.4805470706212276,4.316794513918391
2.4661250453713173,4.292969812898748
2.7043098738463334,4.684640641946067
2.781435211738037,4.810648058733049
2.7419036837371618,4.746111098307221
2.5444512032588666,4.422192155944052
2.683631225190056,4.650788179165737
2.6746072854037926,4.636006339965116
2.4992756064887933,4.347712339684171
2.5765887158058405,4.475092342899429
2.312642547185349,4.038543283307293
2.4921970754282112,4.3360296130550005
2.71202244554397,4.697259349216987
2.4676537142038084,4.295495792261668
2.5920710845414856,4.500552306420418
2.781201344605078,4.81026656702251
2.6085603284914147,4.527650241507555
2.5499721656291925,4.431284944063952
2.5662549523329043,4.458089990570576
2.5689542347307723,4.462531871165295
2.6852916362839,4.653507452525012
2.779547549381246,4.807568738109857
2.6930532262688365,4.666216240631474
2.4982532168237666,4.346025151809094
2.572525745605425,4.468408315479445
2.398475586969357,4.181026226206231
2.5803092402175,4.481212031990341
2.573499983621666,4.470011144486328
2.7400912990734976,4.743149797983441
2.8389761610815194,4.904400020325158
2.9728585533156187,5.121685564005474
3.1283075127759856,5.3724912196093175
3.081062406019601,5.296432221752859
3.30608243570897,5.657385295231587
3.452604654302507,5.890659767851329
3.4026416479332346,5.811269905766103
3.4889243082913075,5.948270382338835
3.672620210410802,6.238363792122879
3.671143273966797,6.236039939394074
3.7323828292032792,6.3322804916321225
3.5593069462706515,6.0596723750880495
3.457925660937027,5.8991052791279035
3.5226536103393116,6.001696691780533
3.4015084450294646,5.809467420005776
3.2819193639009905,5.618782998898687
3.2387988697305365,5.549800952451003
3.2793457519393194,5.614669238889004
3.0886295494945237,5.308624240438493
3.1308793636391123,5.376627407212539
3.016029492184066,5.191497843235576
3.1305692825143527,5.376128741116204
3.3327612681107204,5.699962905768238
3.682515136226919,6.253929189136367
3.6069792831278997,6.1349493292835495
3.51481492701664,5.989286901514558
3.4823271219406466,5.937812124233657
3.229693601857016,5.53521938423507
3.064999330111944,5.270539311134074
3.1367834673753325,5.386121068242547
3.3074476996768682,5.6595652794970395
3.237087915062104,5.547061366246528
3.217962811284694,5.516425260668132
3.2422348721124727,5.555302117278021
3.18024212903391,5.455931643396645
3.1588838946930187,5.421637853254277
2.94710795653495,5.079985477710109
3.190718690118767,5.472742449583945
3.196803366493383,5.482502711525653
3.334788064336432,5.703195658645388
3.138112176324226,5.388257287644803
3.198629554809077,5.485431580281522
2.845178118044444,4.914491773126859
2.940170226080168,5.068743150505164
2.859745139708525,4.938185016136423
2.8105262178280412,4.858073831022165
2.677249455560369,4.640334963702083
2.9045166983807813,5.010917799093609
2.637297497393405,4.574832267140429
2.548179349976793,4.428332479700214
2.5044237884247584,4.3562069955424025
2.277440246700123,3.9799613496114934
2.268389376727593,3.9648855691182705
2.442049074086051,4.253165601268766
2.447033056494846,4.261408734616773
2.493797981747276,4.338672118565409
2.3585880697643433,4.1148756284197106
2.427505964193565,4.229102716974424
2.5258508925885392,4.391543059147205
2.608209974330417,4.527074670466485
2.4103130008407536,4.200636816936476
2.47330453046104,4.304831847900071
2.3947724113405036,4.174889352497269
2.2756938837534233,3.9770529206363094
2.6533596891980666,4.601179711331436
2.5018860977444666,4.352019953902055
2.3082086208951993,4.031169247595969
2.5295611043209267,4.397658517627362
2.5934309715741692,4.502787798264033
2.576045515576264,4.474198784066224
2.6856978996304113,4.654172766277437
2.7538921764258504,4.765693865461491
2.64900723069265,4.594041916150581
2.304659796864419,4.025266247531249
2.553094454271172,4.436426306730342
2.598979612565523,4.5119078084068045
2.7219577941225013,4.713508919420345
2.936910327143041,5.0634595111750285
2.9306608701800494,5.05332843780937
2.9894936243811285,5.148600880129023
2.758265174361659,4.7728346086397595
2.6635954567240185,4.617960795763561
2.9777297776741225,5.129569025604312
3.023751430699621,5.203972163061324
3.0843386369835106,5.30171127468558
2.856186471645805,4.932398147296314
2.819028056296625,4.871923357723843
3.055634483726838,5.255435824036636
2.8222140672860743,4.877112142674958
2.7769860590204107,4.803389830027942
2.717486916716526,4.706197478817709
2.714664346858453,4.701580905654684
2.823656917597845,4.8794617680431
2.8524509351281395,4.926322762395057
3.0496754917000053,5.245822255119675
3.0711254285017864,5.280416282886489
3.1677561924449824,5.435887240975324
3.1565863796563023,5.417947084392737
3.080727198108616,5.295892055275186
3.163988975136699,5.429837513668735
3.201055474827787,5.489321972632209
3.325823442423892,5.688895024257562
3.3119165595223676,5.666700086455354
3.1456949199722137,5.4004461686914595
3.180110406318553,5.455720234204764
3.145662485722828,5.400394040245059
3.2676056567798852,5.595897984355902
3.3459919066212875,5.721061080728006
3.5527065429411344,6.049238632422425
3.770232767498529,6.391645180326441
3.7590252962212247,6.374076517152552
4.029629643345562,6.796078623495824
3.9903055070956226,6.735036334184318
3.997215471333651,6.7457695063752725
4.152634638144351,6.986401228581597
4.110905310698984,6.921938892886175
4.156705944481496,6.992684745555449
4.3817628601920875,7.3384547567003
4.345930198511024,7.283608971415256
4.173598709105322,7.018745606158198
4.105956701228822,6.914287313479379
4.0309773813812635,6.7981690018810985
4.016696768164663,6.776013670898862
4.071932582476084,6.861638118329137
3.9549213713319724,6.680028139775947
3.822322515606327,6.473196839234743
3.828264771363629,6.482489224871918
3.7951280380926478,6.430642417273102
4.156785260676527,6.9928071493958175
4.0906374628498146,6.890591027782818
4.103329930667838,6.910225167545894
4.396489552243224,7.360973009987316
4.4102001967251585,7.381925854368064
4.442898889048764,7.431850716051898
4.487946373649239,7.500524285164133
4.712210964515517,7.840598516329836
4.919974135413474,8.152984407601565
4.997621984041059,8.26908158368692
5.007123927683433,8.283264452096535
4.966281820565427,8.222264990964893
4.989785151274411,8.257380139965948
5.042823471843862,8.336503538451042
5.036301447443305,8.326782723596008
4.908750318445381,8.136173614769934
4.895609514621159,8.116482204050676
5.052833454730607,8.351418197143124
4.96660728079837,8.222751465314245
4.96221898885523,8.216191643341446
4.843987556339718,8.039028770743753
4.9436885833089965,8.188479107890265
5.1294721599016135,8.465415232754093
4.9500330790155695,8.197969671780447
4.6754092824786735,7.784998410753886
4.7310884148472665,7.869087417322397
4.592225095561838,7.65902623727949
4.462203433178265,7.461294898537804
4.441366860696819,7.42951303307292
4.536811309032933,7.574879402097523
4.401629884327695,7.368829886535362
4.277627646066758,7.178848562154097
4.103168130361274,6.90997493901633
4.045601407571029,6.82084404613369
3.9436480998336956,6.662486380479833
3.9904741926709493,6.735298386884892
3.990072880877469,6.734674946931309
4.202469075322063,7.063244104767882
4.204579631649434,7.066495147537957
4.238251325902767,7.118325258362828
4.434722965730794,7.41937364441236
4.126840772181489,6.946568193907255
4.049921345400142,6.827539726835761
4.123476099836689,6.941369172640697
3.928113870005408,6.638301420764594
3.843386795114946,6.50612679034009
3.7757714446166033,6.400324614419406
3.8092901037485327,6.452809261777249
3.87946038101692,6.562456488449284
3.9645707598816733,6.695036788403964
3.9893681630785296,6.733580140019847
4.324632472233702,7.250973582099917
4.404779543610911,7.373643277018634
4.313216347644794,7.233468838519036
4.424673078799019,7.404031235927622
4.42334125772504,7.401997586946954
4.330493036252896,7.259956714123282
4.3486340841080615,7.287750277862543
4.287502430683019,7.19401175901485
4.557609890375106,7.606483986876219
4.604874056373376,7.678208150628557
4.581541584739394,7.642817439632685
4.508444810069209,7.5317331107327234
4.635220054417518,7.724188324641319
4.776174463597982,7.937043545382635
4.7418257838586815,7.885282284826483
4.733964029569632,7.873425295236167
4.62184744175009,7.703932953074128
4.706136222350571,7.831426321397872
4.364326925383272,7.311776883370758
4.312148691856265,7.231831359450925
4.341497472735645,7.276818791032153
4.500007976686782,7.51889110935698
4.223830455914102,7.096136009537029
4.424691761756334,7.404059763455151
4.2573152839042745,7.147639291296714
4.268229491007487,7.164411734963936
4.406892013446351,7.376871271787536
4.5746418188505285,7.632345630804926
4.563990601491243,7.616174630093998
4.756034337134222,7.906702137118817
4.891706113704414,8.110631029134037
4.665959371123705,7.770708455991669
4.729507358801923,7.866702178126584
4.824541447594821,8.009811201945825
4.786334432348609,7.952340586984198
4.861814453124684,8.065793916862102
4.9453382538614035,8.190947033364099
4.88474523935032,8.10019449796966
4.999047037639635,8.271208994720773
4.983748834148626,8.248364662144427
4.771741372715796,7.930367086592682
4.699491004667766,7.821390260648365
4.717432557327718,7.84848079810502
4.692920457188906,7.811464392106964
4.6101120228556605,7.6861486296520845
4.545091488889922,7.587464696915636
4.503291075858996,7.5238889388311785
4.597269208243246,7.666676686656451
4.3162486405685065,7.238119131981661
4.2229139244741445,7.094725322287557
4.202352827146829,7.063065031363776
3.899820498145387,6.59421340527756
3.9118211131238683,6.612919394882201
3.8815899451587894,6.565779310100409
3.7436766314850614,6.350003373078482
3.9742066163183325,6.7100186217528135
3.9939710898942606,6.740730412474767
3.754743528446588,6.367362398868362
3.5545607584664487,6.052170007118368
3.639617313846135,6.186403234756974
3.7325797806589547,6.332589627904402
3.8282668007707685,6.482492398042379
3.8016230565372533,6.440810154782258
4.068650002694892,6.856554853842702
4.0581768556468,6.840332136276187
4.265164741523473,7.159702704529959
4.116215101826735,6.930147258450361
4.179076549111074,7.027192640350677
4.354374079393448,7.296540259408703
4.571245125413046,7.627189405687448
4.606203036406152,7.68022296896759
4.510472860218463,7.534819439547567
4.8210199754616685,8.00451784350558
4.79549896459761,7.966133645710541
4.661771021317216,7.76437322233178
4.650796189872072,7.747767904905241
4.587268458253313,7.651506980491765
4.352053777234468,7.2929872892652545
4.286448956714713,7.1923943830954915
4.2262922442415025,7.099924838071307
4.263186476186698,7.156662768062788
4.5135169177314625,7.539451485603393
4.448759452827568,7.440791894077643
4.496878979435918,7.514127264570433
4.554147002263488,7.601223737903784
4.422327535925914,7.400449593770801
4.320490309238814,7.244623174063742
4.278250193641837,7.179804688697452
4.13258634920284,6.955444530447776
3.896132619824318,6.588463113069396
3.8373366602650534,6.496671409071872
4.188292715962419,7.041400165212726
4.029367678412944,6.795672295717019
4.14224687409568,6.9703644936461675
4.087622251359597,6.885925300198452
4.314303077909746,7.2351355012195
4.065201333498018,6.851213674298124
4.057658489326598,6.839529020301876
4.406551092698178,7.37635034040923
4.546708109738077,7.589921367890759
4.653302099940811,7.751560069745123
4.617350099958302,7.697118473213078
4.678223942963714,7.789253653228776
4.710324073394703,7.83774975215017
4.50986383846835,7.533892643571815
4.575694984685985,7.6339442100647155
4.637909893993967,7.728261310769254
4.608174378139714,7.683211454182893
4.824188481723746,8.009280668507996
4.671680897354058,7.779361060978744
4.691458981185208,7.809256248741606
4.814082494788927,7.9940875154998094
4.812875817657567,7.992273016760671
4.6466712793555685,7.741524910369192
4.689085187021945,7.80566941371026
4.684097076109088,7.798131219049734
4.687756420977288,7.803661484022791
4.489973432258807,7.503611603462942
4.147850656260025,6.9790164920641375
4.222129273406648,7.0935175790539695
4.218923229871498,7.0885824118435075
4.073469449302316,6.864017817006136
4.037903712424348,6.808910158498071
4.1059562050885425,6.914286546267767
4.0562501693084645,6.837346996371917
3.883172211851788,6.568247984233655
3.831007904541967,6.486778138391767
4.067042954746087,6.8540660048687485
4.279097487122683,7.181105948558045
3.9959870308374077,6.74386159935844
3.899906585282358,6.594347625774152
3.882902370008047,6.567826984344251
3.879449488646445,6.562439492035559
3.817937349101309,6.46633798237653
3.773894392821989,6.397383379195672
3.8703934754557814,6.548305961404354
3.8697929973852077,6.547368626870506
4.114699433324487,6.927804374975651
4.088864638826618,6.887847834017423
4.352654394293205,7.293907017390361
4.334624273392848,7.266287862844804
4.278678180824654,7.18046199007642
4.380725386100708,7.3368678834341114
4.734201777996924,7.873783917874801
4.908635340729937,8.136001365358618
5.17646460352052,8.535146233557636
4.971911636092034,8.230679157581507
5.003385478392433,8.277684966327422
5.072804560090445,8.381157293961738
4.977826743541152,8.239517717042341
4.9658294458294545,8.221588803730832
4.751159931432998,7.899355161068743
4.934529098578942,8.174773517091085
4.901261637078494,8.12495311612221
4.636430628088361,7.726021442664925
4.730716480089038,7.868526316227639
4.651294867430353,7.748522577731637
4.574680794953641,7.632404793031737
4.275631676749158,7.175782935626405
4.054004236914915,6.833866938617978
3.8434854127893963,6.506280894840256
3.9329974386332722,6.645906177046058
4.076076302726263,6.8680539596647945
4.228779187224189,7.103752004967934
4.190559455119514,7.044893744068286
4.32341958904124,7.249114201844969
4.380864481295956,7.33708064091263
4.54076733815217,7.580892802949954
4.572736325050096,7.629453151316484
4.572378319105484,7.62890968532902
4.192332385104846,7.0476260273947275
4.159099893466173,6.99637901083452
